@examples
dim 36
format xy
0.166666666666667+0.00000000000000i -0.0954915077309322 - 0.136598498267921i -0.0243613885683433+0.164876622129397i -0.148566315212259 - 0.0755369297895371i 0.0144016037918108+0.166043282267009i 0.130655271925543 - 0.103474526796889i -0.0954915077309322+0.136598498267921i 0.166666666666667+0.00000000000000i -0.121173559545317 - 0.114432277985258i 0.147030315664006 - 0.0784848014173479i -0.144338963189840 - 0.0833309155299507i 0.00994797636164258+0.166369515068374i -0.0243613885683433 - 0.164876622129397i -0.121173559545317+0.114432277985258i 0.166666666666667+0.00000000000000i -0.0530099525800289+0.158011780273627i 0.162154874648897 - 0.0385171962294563i -0.121460845815538 - 0.114127300465541i -0.148566315212259+0.0755369297895371i 0.147030315664006+0.0784848014173479i -0.0530099525800289 - 0.158011780273627i 0.166666666666667+0.00000000000000i -0.0880919577787413 - 0.141483514066079i -0.0695689454842286+0.151452763599712i 0.0144016037918108 - 0.166043282267009i -0.144338963189840+0.0833309155299507i 0.162154874648897+0.0385171962294563i -0.0880919577787413+0.141483514066079i 0.166666666666667+0.00000000000000i -0.0917976276047884 - 0.139107776000878i 0.130655271925543+0.103474526796889i 0.00994797636164258 - 0.166369515068374i -0.121460845815538+0.114127300465541i -0.0695689454842286 - 0.151452763599712i -0.0917976276047884+0.139107776000878i 0.166666666666667+0.00000000000000i -89.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.0459362193557532 - 0.160211240333124i 0.155887505174994 - 0.0589649345636364i 0.164422287130878 - 0.0272596638355824i 0.154882100374401 - 0.0615573940432170i 0.129859067202577 - 0.104472007940187i 0.0459362193557532+0.160211240333124i 0.166666666666667+0.00000000000000i 0.0996463676108479+0.133597826328655i 0.0715214568166878+0.150540555972789i 0.101861307530501+0.131916836703866i 0.136216947411242+0.0960349989105052i 0.155887505174994+0.0589649345636364i 0.0996463676108479 - 0.133597826328655i 0.166666666666667+0.00000000000000i 0.163432466581746+0.0326742504854261i 0.166643471611768 - 0.00278049401289629i 0.158421546734919 - 0.0517724956699386i 0.164422287130878+0.0272596638355824i 0.0715214568166878 - 0.150540555972789i 0.163432466581746 - 0.0326742504854261i 0.166666666666667+0.00000000000000i 0.162864618284434 - 0.0353962411682839i 0.145197579904847 - 0.0818256718124170i 0.154882100374401+0.0615573940432170i 0.101861307530501 - 0.131916836703866i 0.166643471611768+0.00278049401289630i 0.162864618284434+0.0353962411682839i 0.166666666666667+0.00000000000000i 0.159263217841534 - 0.0491223495014014i 0.129859067202577+0.104472007940187i 0.136216947411242 - 0.0960349989105052i 0.158421546734919+0.0517724956699386i 0.145197579904847+0.0818256718124170i 0.159263217841534+0.0491223495014014i 0.166666666666667+0.00000000000000i -88.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.152629003264213+0.0669489741545804i 0.0766170896770840 - 0.148012159457227i 0.0638667942253511+0.153944179406545i -0.143305455140363 - 0.0850959711431235i -0.0264132461226063+0.164560378606287i -0.152629003264213 - 0.0669489741545803i 0.166666666666667+0.00000000000000i -0.129619513610902+0.104769076874100i 0.00335087846424551 - 0.166632978102462i 0.0970528848460682+0.135493598818666i 0.0902914557770759 - 0.140090080988749i 0.0766170896770840+0.148012159457227i -0.129619513610902 - 0.104769076874100i 0.166666666666667+0.00000000000000i -0.107353935175691+0.127486902778565i 0.00969354925379428 - 0.166384533177342i -0.158283858272723+0.0521919341285435i 0.0638667942253511 - 0.153944179406545i 0.00335087846424551+0.166632978102462i -0.107353935175691 - 0.127486902778565i 0.166666666666667+0.00000000000000i -0.133514936779506+0.0997574029059615i 0.141877098554634+0.0874566560274079i -0.143305455140363+0.0850959711431235i 0.0970528848460682 - 0.135493598818666i 0.00969354925379428+0.166384533177342i -0.133514936779506 - 0.0997574029059615i 0.166666666666667+0.00000000000000i -0.0613095778310852 - 0.154980364704539i -0.0264132461226063 - 0.164560378606287i 0.0902914557770759+0.140090080988749i -0.158283858272723 - 0.0521919341285435i 0.141877098554634 - 0.0874566560274078i -0.0613095778310852+0.154980364704539i 0.166666666666667+0.00000000000000i -87.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.159870149767140+0.0471095849186769i 0.148926781181371 - 0.0748237370406862i -0.150063180448178+0.0725177195694639i -0.133082647998997 - 0.100333377194993i -0.0825558121175495+0.144783685763934i -0.159870149767140 - 0.0471095849186769i 0.166666666666667+0.00000000000000i -0.164003172035129+0.0296772192126155i 0.164441416805700 - 0.0271440272751088i 0.0992956746831728+0.133858682075506i 0.120113456320294 - 0.115544516912620i 0.148926781181371+0.0748237370406862i -0.164003172035129 - 0.0296772192126154i 0.166666666666667+0.00000000000000i -0.166646839307053 - 0.00257074439549946i -0.0738735129956521 - 0.149400407815571i -0.138768166787176+0.0923102034680042i -0.150063180448178 - 0.0725177195694639i 0.164441416805700+0.0271440272751088i -0.166646839307053+0.00257074439549945i 0.166666666666667+0.00000000000000i 0.0761691462618669+0.148243175004842i 0.137327822719824 - 0.0944396467846544i -0.133082647998997+0.100333377194993i 0.0992956746831728 - 0.133858682075506i -0.0738735129956521+0.149400407815571i 0.0761691462618669 - 0.148243175004842i 0.166666666666667+0.00000000000000i -0.0212393404267376 - 0.165307798352089i -0.0825558121175495 - 0.144783685763934i 0.120113456320294+0.115544516912620i -0.138768166787176 - 0.0923102034680042i 0.137327822719824+0.0944396467846544i -0.0212393404267376+0.165307798352089i 0.166666666666667+0.00000000000000i -86.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.163511645689431+0.0322756797250150i 0.122239415589325+0.113292996492096i 0.0401924661626769+0.161747777238328i -0.0278697154862929+0.164319982766829i -0.152191453306019+0.0679377606223487i 0.163511645689431 - 0.0322756797250150i 0.166666666666667+0.00000000000000i 0.141865058885946+0.0874761844450533i 0.0707547344457206+0.150902436465729i 0.00447909655285303+0.166606468877556i -0.136154025521110+0.0961241858856270i 0.122239415589325 - 0.113292996492096i 0.141865058885946 - 0.0874761844450533i 0.166666666666667+0.00000000000000i 0.139427963604514+0.0913105730070520i 0.0912571529849907+0.139462933451336i -0.0654415310036950+0.153281387642695i 0.0401924661626769 - 0.161747777238328i 0.0707547344457206 - 0.150902436465729i 0.139427963604514 - 0.0913105730070520i 0.166666666666667+0.00000000000000i 0.152749436230372+0.0666737392762794i 0.0292309916037823+0.164083292591407i -0.0278697154862929 - 0.164319982766829i 0.00447909655285303 - 0.166606468877556i 0.0912571529849907 - 0.139462933451336i 0.152749436230372 - 0.0666737392762794i 0.166666666666667+0.00000000000000i 0.0924303849465927+0.138688145551098i -0.152191453306019 - 0.0679377606223487i -0.136154025521110 - 0.0961241858856270i -0.0654415310036950 - 0.153281387642695i 0.0292309916037823 - 0.164083292591407i 0.0924303849465927 - 0.138688145551098i 0.166666666666667+0.00000000000000i -85.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.144074048910055 - 0.0837881030244793i -0.130560487877932+0.103594096274132i 0.124903822620118 - 0.110348597057959i -0.161139646170800 - 0.0425651525279460i 0.139881177980946+0.0906147550040320i -0.144074048910055+0.0837881030244793i 0.166666666666667+0.00000000000000i 0.0607825518294064 - 0.155187819015808i -0.0524969989819488+0.158182941165181i 0.160694967894150 - 0.0442143084450711i -0.166474116635032 - 0.00800913655542349i -0.130560487877932 - 0.103594096274132i 0.0607825518294064+0.155187819015808i 0.166666666666667+0.00000000000000i -0.166433803238634+0.00880720825810082i 0.0997738338698027+0.133502658597868i -0.0532548071303253 - 0.157929425045777i 0.124903822620118+0.110348597057959i -0.0524969989819488 - 0.158182941165181i -0.166433803238634 - 0.00880720825810082i 0.166666666666667+0.00000000000000i -0.0925797175042159 - 0.138588504879075i 0.0448348965298780+0.160522926184807i -0.161139646170800+0.0425651525279460i 0.160694967894150+0.0442143084450711i 0.0997738338698027 - 0.133502658597868i -0.0925797175042159+0.138588504879075i 0.166666666666667+0.00000000000000i -0.158384606363000 - 0.0518853952959342i 0.139881177980946 - 0.0906147550040320i -0.166474116635032+0.00800913655542349i -0.0532548071303253+0.157929425045777i 0.0448348965298780 - 0.160522926184807i -0.158384606363000+0.0518853952959342i 0.166666666666667+0.00000000000000i -84.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.166452139612266 - 0.00845357890342636i 0.164796801773665+0.0248956201559476i -0.165424123563303 - 0.0203134714190099i -0.0497015480401943+0.159083418055390i -0.163680187732936 - 0.0314097742985959i -0.166452139612266+0.00845357890342636i 0.166666666666667+0.00000000000000i -0.165847424074938 - 0.0165048388506345i 0.166241525064232+0.0118967693974457i 0.0415686287194450 - 0.161399587620795i 0.165062654793939+0.0230672445288698i 0.164796801773665 - 0.0248956201559476i -0.165847424074938+0.0165048388506345i 0.166666666666667+0.00000000000000i -0.166602497807641+0.00462444613253366i -0.0253810548672442+0.164722736231535i -0.166535623573336 - 0.00660786340792737i -0.165424123563303+0.0203134714190099i 0.166241525064232 - 0.0118967693974457i -0.166602497807641 - 0.00462444613253366i 0.166666666666667+0.00000000000000i 0.0299417913502917 - 0.163955075885175i 0.166288158917339+0.0112261294157712i -0.0497015480401943 - 0.159083418055390i 0.0415686287194450+0.161399587620795i -0.0253810548672442 - 0.164722736231535i 0.0299417913502917+0.163955075885175i 0.166666666666667+0.00000000000000i 0.0188303067484053+0.165599508832420i -0.163680187732936+0.0314097742985959i 0.165062654793939 - 0.0230672445288698i -0.166535623573336+0.00660786340792737i 0.166288158917339 - 0.0112261294157712i 0.0188303067484053 - 0.165599508832420i 0.166666666666667+0.00000000000000i -83.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i 0.121105991752175 - 0.114503783952758i -0.139052286419235 - 0.0918816598639841i -0.164701639590914 - 0.0255175957692404i -0.0122729315346129+0.166214177883009i 0.0682193613443238+0.152065434979651i 0.121105991752175+0.114503783952758i 0.166666666666667+0.00000000000000i -0.0379156039315347 - 0.162296595023693i -0.102146964797472 - 0.131695768194888i -0.123110867156443+0.112345414529327i -0.0549017658077268+0.157364461963212i -0.139052286419235+0.0918816598639841i -0.0379156039315347+0.162296595023693i 0.166666666666667+0.00000000000000i 0.151480431702776 - 0.0695086799537893i -0.0813927321951823 - 0.145440712744338i -0.140748496481143 - 0.0892616295844711i -0.164701639590914+0.0255175957692404i -0.102146964797472+0.131695768194888i 0.151480431702776+0.0695086799537893i 0.166666666666667+0.00000000000000i -0.0133200855359848 - 0.166133539958347i -0.0906971097932376 - 0.139827794279003i -0.0122729315346129 - 0.166214177883009i -0.123110867156443 - 0.112345414529327i -0.0813927321951823+0.145440712744338i -0.0133200855359848+0.166133539958347i 0.166666666666667+0.00000000000000i 0.146629078250705 - 0.0792318824030224i 0.0682193613443238 - 0.152065434979651i -0.0549017658077268 - 0.157364461963212i -0.140748496481143+0.0892616295844711i -0.0906971097932376+0.139827794279003i 0.146629078250705+0.0792318824030224i 0.166666666666667+0.00000000000000i -82.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.0569387520971910+0.156638936051648i -0.126903581162666 - 0.108042856616569i -0.118292526244434 - 0.117408074732906i 0.0679323071441021+0.152193887603468i -0.0413274875207568 - 0.161461501767448i -0.0569387520971910 - 0.156638936051648i 0.166666666666667+0.00000000000000i -0.0581879193620007+0.156179204179363i -0.0699314824995151+0.151285708291292i 0.119829046991419 - 0.115839446109286i -0.137628133700461+0.0940014605838959i -0.126903581162666+0.108042856616569i -0.0581879193620007 - 0.156179204179363i 0.166666666666667+0.00000000000000i 0.166181093935153+0.0127130561350828i -0.150385892576931 - 0.0718460930852722i 0.136136208308374+0.0961494179139778i -0.118292526244434+0.117408074732906i -0.0699314824995151 - 0.151285708291292i 0.166181093935153 - 0.0127130561350828i 0.166666666666667+0.00000000000000i -0.155428053331969 - 0.0601655882977337i 0.143073701808992+0.0854850491515877i 0.0679323071441021 - 0.152193887603468i 0.119829046991419+0.115839446109286i -0.150385892576931+0.0718460930852722i -0.155428053331969+0.0601655882977337i 0.166666666666667+0.00000000000000i -0.164285551368217 - 0.0280719680360786i -0.0413274875207568+0.161461501767448i -0.137628133700461 - 0.0940014605838959i 0.136136208308374 - 0.0961494179139778i 0.143073701808992 - 0.0854850491515877i -0.164285551368217+0.0280719680360786i 0.166666666666667+0.00000000000000i -81.0000000000000+0.00000000000000i
0.166666666666667+0.00000000000000i -0.166593644984988+0.00493307494304053i 0.166603544737095 - 0.00458657375528948i -0.166028482906741+0.0145712264914003i 0.165024926736522 - 0.0233356236981889i -0.164545325812329+0.0265068581897653i -0.166593644984988 - 0.00493307494304053i 0.166666666666667+0.00000000000000i -0.166666306183432 - 0.000346642392468811i 0.166387026546335 - 0.00965065670547544i -0.165643322633781+0.0184409176729099i 0.165257795461637 - 0.0216249581950436i 0.166603544737095+0.00458657375528948i -0.166666306183432+0.000346642392468811i 0.166666666666667+0.00000000000000i -0.166366594707558+0.00999669661382252i 0.165604609941007 - 0.0187853917729855i -0.165212461262175+0.0219686235679920i -0.166028482906741 - 0.0145712264914003i 0.166387026546335+0.00965065670547543i -0.166366594707558 - 0.00999669661382252i 0.166666666666667+0.00000000000000i -0.166433201316511+0.00881857569652989i 0.166232689489650 - 0.0120195974481490i 0.165024926736522+0.0233356236981889i -0.165643322633781 - 0.0184409176729099i 0.165604609941007+0.0187853917729855i -0.166433201316511 - 0.00881857569652989i 0.166666666666667+0.00000000000000i -0.166635806430926+0.00320714715797393i -0.164545325812329 - 0.0265068581897653i 0.165257795461637+0.0216249581950436i -0.165212461262175 - 0.0219686235679920i 0.166232689489650+0.0120195974481490i -0.166635806430926 - 0.00320714715797393i 0.166666666666667+0.00000000000000i -80.0000000000000+0.00000000000000i
